User id,Number of tweets before,Number of tweets after
254170527,1,1
243007875,3,2
1237797612,1,1
2610059538,1,1
1166791663,4,1
38576013,1,1
2263969766,2,1
2391037880,1,1
568617796,1,1
181816027,2,1
2229998732,1,1
90257036,1,2
1697903767,14,28
273695055,1,2
472568995,1,1
1665938185,2,1
2354550037,1,1
1695197929,1,2
2157713257,1,2
82085208,3,5
237397337,1,1
1660356536,1,1
20110434,1,1
10006872,1,2
173258433,1,1
176914028,1,1
2399842687,5,5
225937279,3,16
170438644,1,1
24928809,2,4
196700245,2,2
2250772664,1,1
399065965,2,1
65664359,1,1
379847934,2,1
413596013,2,1
2375791411,3,1
193596426,3,3
2220952320,3,3
474480106,1,1
1332405727,26,1
1631340090,1,1
2228305808,1,1
93084693,1,2
2432313276,8,7
414463733,1,1
2478507998,1,2
2372899255,9,13
1703205061,1,1
212129844,1,1
93660564,6,2
2571807372,2,3
288108491,1,1
53574205,1,5
352739370,2,14
2289692636,1,1
2617502964,6,10
23289921,1,3
22960394,2,1
2475227960,2,3
263205777,1,1
123184980,1,1
1372258507,1,2
137928312,2,1
338778995,1,4
407288267,1,2
114784362,1,4
2436855234,1,1
1519890487,1,1
268036007,1,6
102771326,1,1
605575127,2,4
16273473,1,2
920925912,1,1
523897075,1,2
2241235933,1,2
181142797,2,28
1969939488,2,1
61246370,1,1
282140329,1,1
99129722,1,1
361921925,4,1
81883871,1,1
800581992,2,4
1403575543,1,2
49629945,1,3
313397171,1,1
281442157,6,3
171361829,7,2
890299446,7,4
41513612,1,1
22289976,1,3
16495674,2,1
456404041,1,1
1152478224,1,2
349582502,2,1
866325828,1,3
79061796,1,2
248325770,1,3
1581892808,1,1
864875088,2,1
1478174336,1,1
308795295,1,1
2189076230,1,1
541017667,1,1
73799553,2,1
273556885,1,3
2457544532,3,5
363571696,1,2
203304909,1,1
362652323,1,1
522576664,1,1
2463624582,1,1
14803951,2,5
529885437,1,1
404082358,1,5
524808172,1,5
40949900,1,1
379266887,1,3
348824826,1,3
12014892,1,4
544758030,4,1
18876349,1,1
620200783,1,1
136659824,1,2
97299073,14,15
107688772,2,1
315820609,1,1
1529152057,2,1
99034397,1,2
20973776,2,3
544716553,2,1
242217308,1,1
1089581520,1,5
1317726559,3,3
26242988,1,4
1578216037,1,3
525893754,3,3
24674159,1,2
2420846881,4,9
21063464,2,2
2492757973,2,1
620458207,4,6
171133744,1,4
212916860,4,3
211523169,2,12
902607342,1,1
1786796390,1,3
435599748,1,1
38526116,1,1
2167290884,13,25
113670783,2,2
1921565318,2,1
298984799,1,1
35363775,1,1
67198082,1,1
2228412702,2,1
1491113276,1,1
624832625,2,1
157972164,1,1
1385548352,1,2
333977370,3,2
853395720,1,1
402025521,1,2
196644806,1,1
1178941753,7,1
90109853,1,1
190205062,2,1
587820220,1,3
722283798,6,2
951862243,1,3
1861643738,2,9
302121662,1,2
288677580,1,3
147740944,2,5
436666343,1,1
989903029,2,2
19754314,1,2
291420717,2,1
199683937,1,1
286423213,1,1
12014232,3,9
1558597562,3,1
411865916,2,1
1236808052,1,1
376871518,1,1
2290468044,1,2
202726500,3,1
26368138,1,1
1057727166,1,6
8942262,3,3
33502235,2,1
2547552404,3,2
286981796,1,5
1370676702,61,6
561654065,5,4
809794610,2,4
23221963,1,1
466745446,2,1
565333408,1,1
277074699,1,3
20664587,3,4
81167207,3,3
320525760,1,1
1353247070,2,1
398038365,1,3
79289761,3,1
72464305,1,4
403046962,1,1
2157612983,1,1
2546137267,3,17
184755528,1,3
897985194,3,5
916903080,4,1
255284620,1,1
764537516,1,1
366165436,2,1
2246429173,3,4
560055951,4,1
1862319559,1,1
364964232,2,5
171435540,2,1
39526259,1,1
90325455,1,4
372033441,3,4
180782666,13,2
51477206,1,1
1029285169,1,1
619649114,1,2
1239913915,3,1
25702314,1,1
155514907,7,2
30694719,2,5
162035733,1,1
848599124,2,1
593028297,1,1
355321621,1,1
148608835,1,1
1294642032,1,1
41866281,1,1
979571340,1,1
2270808236,1,1
622436198,1,1
428150149,1,1
95957584,1,2
53831189,2,1
1031756558,1,1
374798607,1,1
1361349734,1,9
48451338,4,1
80407437,4,5
523701946,2,1
1194218132,3,1
337491277,1,2
86410524,3,5
820545114,1,2
898961994,1,1
21765060,2,1
1324490226,2,2
489540640,1,1
1133846220,1,1
186554042,1,1
6782762,1,2
478004235,1,1
265750743,1,1
559703196,1,1
2498072306,2,3
490654852,6,2
18659984,1,1
2620189275,2,3
1254810648,1,2
1435067552,1,5
1593644760,1,1
2300367218,2,2
265260401,1,2
850882279,1,1
195286276,3,4
27736567,1,1
969299318,1,2
216201072,1,1
1704943824,1,2
1145760355,3,3
20679898,1,4
41046586,1,1
873195450,1,2
1619909928,1,1
374339830,1,1
378208702,1,1
579132919,1,3
1452590617,1,3
271434091,7,7
621182770,3,2
238437242,2,1
94005470,1,1
16198636,2,1
14548577,1,1
2410766431,1,4
1265780378,1,1
18108977,1,8
1731163332,22,62
360559943,2,4
232382650,1,1
411985978,1,2
34498491,1,3
1262715708,1,2
201624521,1,2
2172104917,5,1
363018665,1,2
293764900,1,4
224495471,2,1
191460495,1,2
459773146,1,1
68210738,1,1
340435921,1,1
1144349826,1,1
527035976,1,1
2600903736,1,2
114026016,1,1
556140259,2,1
50180661,2,1
350385462,1,1
2712921551,1,4
96233736,1,4
1317727249,3,1
2337750686,1,2
1012824523,8,4
385276955,4,42
21352313,3,2
1571921256,1,5
797476242,3,1
1440906619,15,9
1445252100,1,1
939802436,5,1
1017323306,3,2
36851820,1,1
2462310905,1,2
428333,1,5
950882174,1,4
373867306,12,15
606825337,1,2
1331670295,1,1
2307021294,1,1
2427642782,1,3
560294989,1,2
1335726901,1,1
969291318,1,2
58839183,1,2
592907962,2,2
