time,suicide,depression,seek help,suicide lifeline,crisis hotline,Parkinson's,Robin Williams
01,21603,18508,1305,21,8,122,1615
02,24094,18490,618,21,13,201,1626
03,23783,18320,576,16,25,189,2588
04,21055,18985,659,17,23,159,2511
05,22151,19135,641,48,13,180,1975
06,22975,19084,605,18,19,129,1416
07,21729,18231,595,22,9,234,2178
08,22156,18574,559,23,13,210,2267
09,22736,18347,589,22,9,161,2119
10,26861,18639,630,61,16,157,1777
11,38534,24133,727,148,13,226,104025
12,44521,36958,1008,341,26,193,162421
13,25834,23974,636,47,24,376,29475
14,22354,20339,572,41,17,2067,17151
15,21949,19531,631,26,20,1170,10115
16,23607,18945,554,10,10,443,7731
17,22938,19158,694,22,6,317,6073
18,23839,19075,614,20,8,283,5129
19,22195,20059,581,25,8,184,4889
20,20987,18493,589,23,15,180,3822
21,19921,19620,655,19,12,184,3718
22,20771,19450,551,31,9,159,3060
23,21450,18744,578,15,5,169,2743
24,21012,19131,559,20,9,168,2316
25,21188,17221,549,14,24,156,5308
26,19082,18577,580,17,17,152,5332
27,22428,17694,652,30,11,152,2601
28,20072,19785,661,49,20,140,2206
29,18490,16917,572,17,9,164,1731
30,21206,16749,481,35,29,148,1491
31,14456,10279,299,16,17,65,1121
