time,suicide,depression,seek help,suicide lifeline,crisis hotline,Parkinson's,Robin Williams
20140211,1837,1149,53,3,1,6,22
20140212,2358,1665,59,3,1,9,143
20140213,1968,1627,46,1,1,9,33
20140214,1638,1505,38,4,3,8,31
20140215,1605,1341,48,1,2,7,20
20140216,1459,1378,29,4,1,3,35
20140217,1662,1695,53,3,1,6,42
20140218,1767,2018,41,10,1,7,53
20140219,2165,1685,57,4,1,5,32
20140220,1853,1646,37,1,3,14,26
20140221,1805,1565,75,2,1,5,31
20140222,1635,1607,51,3,2,5,23
20140223,1767,1655,43,1,1,7,32
20140224,2189,1811,47,1,1,14,26
20140225,1883,1700,63,1,3,10,26
20140226,1687,1810,50,1,1,10,29
20140227,1715,1684,44,7,1,7,21
20140228,1377,1609,42,1,1,10,38
20140301,1293,1332,52,2,1,11,27
20140302,1258,1549,41,4,1,9,18
20140303,1978,1596,33,1,1,15,130
20140304,1842,1616,46,2,1,18,34
20140305,1845,1622,56,2,3,24,24
20140306,2174,1592,46,3,1,14,34
20140307,1617,1454,37,1,3,17,33
20140308,1455,1437,29,1,2,9,25
20140309,2192,1531,34,1,2,6,34
20140310,1673,1660,36,6,2,10,30
20140311,1741,1721,39,2,1,12,26
20140312,2040,1869,59,1,1,12,34
20140313,1860,1413,56,2,1,17,28
20140314,1766,1374,48,1,1,8,33
20140315,1611,1347,69,2,3,12,28
20140316,1783,1622,91,1,1,14,27
20140317,2808,1775,41,1,2,12,25
20140318,3262,1812,58,5,1,11,21
20140319,2445,2785,61,1,1,7,35
20140320,2737,1580,56,2,1,8,48
20140321,2180,2736,36,1,1,10,44
20140322,1493,2189,36,2,1,6,31
20140323,1539,1618,44,2,2,7,27
20140324,1828,2551,47,3,1,17,21
20140325,2124,1651,50,1,5,5,26
20140326,1918,1599,42,3,1,10,33
20140327,1733,1612,59,1,1,11,36
20140328,1671,1534,38,2,1,11,20
20140329,1480,1337,27,2,1,6,25
20140330,1661,1523,31,2,1,8,14
20140331,1636,1687,37,2,1,7,35
20140401,1961,1548,28,2,1,16,26
20140402,2374,1436,49,4,1,16,26
20140403,1824,1977,51,3,1,18,55
20140404,1560,1617,47,1,1,19,93
20140405,1588,1354,47,1,1,29,76
20140406,1442,1545,30,2,2,14,34
20140407,1954,1732,45,2,1,22,39
20140408,1760,1850,43,1,2,36,36
20140409,1761,1644,57,6,1,35,29
20140410,1860,1445,45,2,1,14,37
20140411,1576,1322,36,1,2,35,38
20140412,1683,1405,56,5,3,9,21
20140413,1433,1495,39,3,2,9,19
20140414,1892,1797,40,1,1,22,29
20140415,1734,1669,55,2,1,14,21
20140416,2272,1570,39,1,2,19,26
20140417,2194,1421,46,2,2,14,525
20140418,2434,1577,56,1,1,12,134
20140419,1576,1474,40,1,1,3,59
20140420,1498,1366,28,2,2,6,33
20140421,1656,1629,61,1,2,26,31
20140422,1890,1594,46,1,2,21,64
20140423,1523,1556,52,1,1,14,40
20140424,1645,1400,48,2,1,12,41
20140425,1585,1329,41,2,2,12,39
20140426,1223,1808,55,1,1,11,34
20140427,1718,1381,60,1,1,9,30
20140428,1694,1712,53,1,1,24,24
20140429,1669,1672,69,3,2,42,21
20140430,1750,1544,45,1,2,19,34
20140501,1742,1485,753,1,2,15,15
20140502,1752,1347,75,2,2,32,31
20140503,1342,1160,44,1,1,13,30
20140504,1484,1396,52,1,2,6,33
20140505,1591,1655,52,1,1,5,24
20140506,1625,1725,42,3,1,17,31
20140507,1560,1651,45,4,1,6,33
20140508,1506,1497,39,1,1,11,37
20140509,1471,1287,43,1,1,7,34
20140510,1271,1248,32,1,1,9,75
20140511,1369,1278,34,1,3,4,31
20140512,1648,1522,57,1,2,12,38
20140513,1497,1393,50,1,1,31,35
20140514,1764,1396,76,2,2,14,26
