msg_id,user_id,message,comparison_code,machine code,code by Q,Note,
4.33E+17,108391251,That's the Indian Education system in Super slow motion. RT @sonaliranade Suicide Bomb Instructor Accidentally Kills Iraqi Pupils,0,3,7,suicide bomb,
4.33E+17,518702899,"1 in 10 college students will experience an episode of Major Depression. Don't give advice, ask why or try to cheer him up- It's an illness.",1,4,4,,
4.34E+17,268179496,"omg, Crawley is not good, and people think Egypt is bad!! child killer, suicide bomber, good job we dont live... http://t.co/zIPZWw3oMw",0,1,7,suicide bomb,
4.34E+17,1089993498,I have fallen into depression because I miss FNL so much,0,7,3,not sure if it's a joke,
4.34E+17,601074058,"Photo: dying‰ÛÓ-soul: ‰ùÅblack and white depression blog, i follow back similar‰ùÅ http://t.co/uCUvoawNfQ",0,4,1,maybe risk of emotional disstress,"""black and white depression blog"" is a blog about depression"
4.34E+17,1959741140,Yayyyy talking about suicide in health. Joy.,1,4,4,,
4.35E+17,631134850,(PICZ) University Of Education Student Commits Suicide On Valentine‰Ûªs Day http://t.co/j4ft1SJq51,0,5,6,news,
4.35E+17,1331109222,University Of Education Student Commits Suicide On Valentine‰Ûªs Day http://t.co/m97QkqG5QD,0,5,6,news,
4.35E+17,400483319,I really hate when my depression kicks in,0,3,1,maybe risk of emotional disstress,
4.35E+17,428712058,WHY THE FUCK WOULD #ROWANUNIVERSITY SWITCH AMC FOR DISNEY CHANNEL!! THATS THE LAST STRAW IM TRANSFERRING! #depression,0,3,1,maybe risk of emotional disstress,
4.35E+17,1140274477,"What does a ""knuckle sandwich"" have to do with overcoming depression? http://t.co/NZ0rjHdDTg 
#books #inspire",0,7,4,the book is about how to overcome depression,
4.35E+17,739946024,my cats actually attempt suicide by walking in front of me like don't get all pissed off it's too early don't fucking test me,0,3,7,rhetoric,
4.36E+17,16029864,Spread the word about successfully living with depression.  Vote for my post as one of the BlogHer VOTY http://t.co/73t0AIbz9g .,0,4,2,can be 4 or 2,
4.36E+17,351102697,RT @afspnational: Myth: Asking someone if they're considering suicide will put idea in their head. Fact: Asking can HELP. #SuicideResearch,0,2,4,more about clarify a myth,
4.36E+17,276268898,"Man commits suicide two days after his wife died | http://t.co/9tlOX7P79h""",0,5,6,news,
4.36E+17,65934975,"Surviving #suicide ‰__Out of the darkness, silent no more‰__HOPE http://t.co/NmlrETsXif #4FTM #inspirational #BlogChat http://t.co/f9B1fKmjrF",1,4,4,,
4.36E+17,91573961,trigger-incoming: This website is like a suicide hotline but with text chat instead. åÊI wouldåÊappreciateåÊit... http://t.co/XUWd8cflkf,1,4,4,,
4.36E+17,2299078446,@raineosullivan yeah i told you that keith commits suicide and dan knows and nathan kills dan I'm sorry i ruined it for you_Ù÷â,0,3,6,,
4.37E+17,123173008,"Being negative and lazy is a disease that leads to pain, hardship, depression, poor health, and‰Û_ http://t.co/3UVR6AKKX5",1,4,4,information?,
4.37E+17,177466338,"@KIRO7Seattle  BS detector goes off again: What ""untreated mental health condition""--depression?!  Who diagnosed it? HER DR or a SW or who?",0,4,6,is it a comment to a news?,
4.37E+17,1075789694,Teen Mom 2 I need to know has Nathan watched any past seasons of teen mom? He is ill and really needs to seek help! Poor guy! He is clueless,0,2,7,,
4.37E+17,26874946,"‰ÛÏ@OmniMore: @Raven_kittycat  also I have been  diagnosed for the illness of depression"" I really hope that you are feeling well right now.",0,1,4,,
4.37E+17,114571632,"The suicide rate among vets is astronomical, with 22 suicides committed each day, according to the Department of Veterans Affairs. @iava 2/2",0,5,6,,
4.37E+17,1020459542,"‰ÛÏ I offer help to others who are thinking about suicide, or are depressed. But I can never bring myself to talk about my problems to anyone.",0,2,4,not sure if the post is showing the person himself/herself is at risk,
4.37E+17,22904494,"I'm not a depression sufferer but I know enough to think people need to stop saying ""just cheer up"" as if that will magically help.",0,2,4,,
4.37E+17,811980272,When I see/hear people fuck around about committing suicide.. No words can describe how heated that gets me. Like really? Tf outa here.,0,3,6,reaction to news,
4.37E+17,459645077,What it so shitty about life is you complain your fat but the only solution to your deep depression is to eat loadssss,0,7,1,,
4.38E+17,1952592751,My dad has been by me all my life as I've dealt with my depression and mental illness. We have fought but he's always there in the end.,0,7,4,receiving support,
4.39E+17,33238876,"Suicide does not end the chances of life getting worse, Suicide eliminates the possibility of it ever getting better. http://t.co/KbrVAcV3LG",0,1,4,,
4.40E+17,149064143,LOTF essay = cause of stress and depression haha :'((((((,0,7,3,maybe risk of emotional disstress,
4.41E+17,2339408744,Photo: xcrashedbrains: depression blog http://t.co/kkeC0nkAhL,0,4,1,,
4.41E+17,919572307,Mindfulness Therapy is as good as antidepressant drugs for #DEPRESSION. Read this CNN Health article on http://t.co/iWFjcPB7eJ. Please RT!,1,4,4,,
4.42E+17,737662800,'My 16 year-old son hanged himself in prison. Children shouldn't be in jail': More than 30 children have committed suicide in British...,0,6,5,,
4.42E+17,2167061041,Trolls target mother of suicide girl: The mother of a schoolgirl who hanged herself amid claims of bullying is... http://t.co/qFOqrlByaW,1,6,6,,
