_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,relevant,relevant:confidence,message,msg_id,relevant_gold,user_id
946827640,finalized,5,5/5/2016 03:25:18,supportive_messages_or_helpful_information_to_prevent_suicide,0.8434,"Suicide doesn't end the chances of getting worse, it eliminates the possibility of getting better. #SuicideQuotes http://LINK",480806951459508225,,66394878
946827641,finalized,5,5/5/2016 03:56:54,other,0.5395,"when I get into a mood where im on kill mode , you better have some shit to shut me down or your ass gon be on suicide watch when I'm done!",546882938017968128,,50396482
946827642,finalized,5,5/5/2016 03:25:58,reaction_to_suicide_news_movie_music,0.7965,"@SOMEONE If we are talking about numbers, we will cross 1000. That is how many were hanged, burned alive or commited suicide out of fear.",457586934299496448,,2172747780
946827643,finalized,5,5/5/2016 03:22:59,supportive_messages_or_helpful_information_to_prevent_suicide,0.8322,"I heard someone today call suicide ""the cowards way out"" and this friends is why we need a serious conversation about mental health.",502854499845697537,,451332647
946827644,finalized,5,5/5/2016 03:56:54,reaction_to_suicide_news_movie_music,0.8487,a kid in lake mary committed suicide yesterday at his school campus due to bullying #resteasybuddy #suicideawareness,510396671352913920,,2352249061
946827645,finalized,5,5/5/2016 03:50:48,suicidal_thoughts,1.0,Wonder if I died and am in hell...depression is eating at me bad last couple of days...,522406210658897921,,30458278
946827646,finalized,5,5/5/2016 03:25:57,supportive_messages_or_helpful_information_to_prevent_suicide,1.0,"WE need to talk about Depression Hello there ,Do you need help with depression? Then worry not this helped me out. http://LINK",478179457451433985,,1398987876
946827647,finalized,5,5/5/2016 03:24:00,suicidal_thoughts,0.5702,High school is a joke I have dealt with depression all my school life. Done school done with this stress shit#fuckYouSchool,529691075896942592,,2188639593
946827648,finalized,5,5/5/2016 03:51:21,reaction_to_suicide_news_movie_music,0.7598,"""Comic actor Robin Williams apparently died of asphyxia due to hanging, Marin County Sheriff's Lt. Keith Boyd says."" via @SOMEONE",499265489303240705,,106327709
946827649,finalized,5,5/5/2016 03:26:11,reaction_to_suicide_news_movie_music,0.532,"Photo: suicidal-monsterr: devotedtothedemonsinside: suicide, sh, depressive &amp; advice blog - follow back... http://LINK",457212851338612736,,113818727
946827650,finalized,5,5/5/2016 03:22:59,reaction_to_suicide_news_movie_music,0.8322,THREE WOMEN COMMIT SUICIDE IN MORANG IN TWO DAYS &gt;&gt;&gt; http://LINK,559302537137106944,,479444314
946827651,finalized,5,5/5/2016 03:24:51,suicidal_thoughts,0.5868,"Fact: i'm live streaming g2b everyday Another fact: if internet doesn't work, imma kill myself. #suicide #G2BChancesAre off-topic",433947710652030977,,116186838
946827652,finalized,5,5/5/2016 03:22:11,supportive_messages_or_helpful_information_to_prevent_suicide,0.5969,"""Did you really want to die? ""No one commits suicide because they want to die. ""Then why do they do it? ""Because they want to stop the pain.",500462899928629250,,1565942839
946827653,finalized,5,5/5/2016 03:51:21,reaction_to_suicide_news_movie_music,0.6078,Father of missing Oakland toddler Daphne Webb commits suicide | http://LINK,490582491359875072,,25473911
946827654,finalized,5,5/5/2016 03:25:18,reaction_to_suicide_news_movie_music,0.8014,"Can't be a real headline. RT @SOMEONE Gene Simmons to depression sufferers: ""fuck you, then kill yourself."" http://LINK",500396663606116352,,23723046
946827655,finalized,5,5/5/2016 03:26:25,suicidal_thoughts,0.5621,Dear depression and social anxiety: Fuck you.,552295108750888960,,2322618001
946827656,finalized,5,5/5/2016 03:23:56,supportive_messages_or_helpful_information_to_prevent_suicide,0.8112,Veronica needs to seek help and spend her time in a mental institution because of the picture she just posted,534099953409617920,,464117425
946827657,finalized,5,5/5/2016 03:26:25,supportive_messages_or_helpful_information_to_prevent_suicide,0.5811,very saddened to hear about recent tragedies of students at my old high school w.t woodson. Please seek help if you're feeling overwhelmed.,439604608525434881,,421365990
946827658,finalized,5,5/5/2016 03:22:11,reaction_to_suicide_news_movie_music,0.8211,"Robin Williams hanged himself, sheriff says #Chicago http://LINK",499344296189759488,,205511066
946827659,finalized,5,5/5/2016 03:23:10,supportive_messages_or_helpful_information_to_prevent_suicide,0.8057,Every 40 seconds some one in the world dies by #suicide. Reaching out to a friend in need may help save their life. #StayStrong #StopSuicide,483464747157708800,,513883865
946827660,finalized,5,5/5/2016 03:25:57,reaction_to_suicide_news_movie_music,0.431,#Health 12 facts about depression and suicide in America  Vox http://LINK,500696933649092609,,2515026524
946827661,finalized,5,5/5/2016 03:23:40,reaction_to_suicide_news_movie_music,0.8552,Death of girl group singer Simone Battle ruled a suicide by hanging; 25-year-old found at home: The death of g... http://LINK,508979937588420609,,600844451
946827662,finalized,5,5/5/2016 03:25:58,other,0.6,Peoria PD seek help locating 12-year-old boy: Police are asking for the public's help in locating a Peoria boy who http://LINK,563773508816080896,,60330037
946827663,finalized,5,5/5/2016 03:24:14,reaction_to_suicide_news_movie_music,0.6184,RIP Robin Williams. Reach out to the people you know who battle depression because it really can kill. Support mental health charities.,499122284452663296,,1275137971
946827664,finalized,5,5/5/2016 03:24:34,supportive_messages_or_helpful_information_to_prevent_suicide,0.4013,@SOMEONE ugh so sad. he was recently in rehab too. the twin cocktail of drugs&amp;depression is probably our greatest public health threat :(,498993042167042051,,16554333
946827665,finalized,5,5/5/2016 03:25:57,supportive_messages_or_helpful_information_to_prevent_suicide,0.7844,@SOMEONE @SOMEONE Thanks for cheering me and giving me great advice. Thank you for talking sense into me when I wanted to suicide.,499785085986422785,,468112834
