msg_id,user_id,message
628384216842002432,3325291893, love and baseball girl your pretty you and your girl cute and I almost killed you but you cool hope to see you this year
621046618821951488,350236972,Y'all some fucking retards if you really think 50 Cent is broke
667169263761932290,3040248314,@SOMEONE @SOMEONE ugh I hate y'all 
425404814374100992,394792102,East side of Cleveland fuck lebron the kid never left yall forget the number 23 because it's about est #LaceUp
660096093137592324,1155374340,The best Halloween costume goes to @SOMEONE and his girlfriend hands down
643808174127104005,2722826568,@SOMEONE you were killing it though 
617112799303434240,70219936,I made my daddy on sims. it looked JUST like him.
643193126815973377,713103834,Calvin gotta average 200 yards to be the best WR in the league I hate Twitter lol
704873476889382912,1656142352,im so mad that matteo picked polonium. i fucking hate science.
404702914968817664,286503685,"""@SOMEONE Hate that oomf always be playing"" @ her"
418264927040991232,316041562,"@SOMEONE yup, it's fucking hilarious haha"
670753235980931074,1459730678,seems like 2015 was a fucked up year for everybody 
363157679314714625,279310192,"Seriously, someone come buy my fucking turtle. He's beginning to smell like shit, and I don't like it. #pissed"
567251129952915456,48919384,I got high tonight and passed the fuck out w my 28 y/o stoner boyfriend I feel like I'm in a TV show
623736636220788736,3093782816,Okay this just mind fucked the hell out of me stop  http://LINK
411095212769828864,288359997,I really hate waking up late
706545190387974144,979295208,"seeing all these kids laugh at the fact Nancy Reagan died, y'all are fucking weirdos"
510274633497837568,177638763,Really wish I could just come home up James every night. Fuck living 3 hours away from each other 
482737289060040704,286027095,Me and @SOMEONE are having a conversation over snap chat like I hate. He should dip out. Like ASAP.
530631005296922626,805989666,I miss Mike so fucking much.
670980045951868933,2334984067,It's my stink birthday . Go boyfriend  that's my boyfriend that's my boyfriend
437666314987896833,287179701,My boyfriend is so sexy it's not even fucking healthy. #holyshit #SEXIESTMANALIVEEE
705441160911790080,482551394,The hatred I have for school is crazy
643226188853280769,60364834,"Mariota throws 4 TDs, outplays Winston: Marcus Mariota made it look easy, throwing four touchdown passes and http://LINK"
647142918843670534,230282199,Can't sit on my porch without smelling the stench off piss.  I hate living next to bebe's and bum bums
491026147166416897,154596535,I just realized I haven't been tired at night in a long time. Like exhausted from the day. That's bullshit. I'm fixing that ASAP.
473100455535706114,1356882576,"@SOMEONE @SOMEONE bitch you don't know me, i'll smack the fuck out of your little ass."
705922776520118273,498357371,Drinking an I Hate Myself by @SOMEONE at @SOMEONE  http://LINK
705625714280652801,795528493,scratches on ya back I ain't mean to do dat baby I couldn't help myself u be fuckin me so crazy
637327196105875463,156809951,I would kill you http://LINK
616086575215169536,1334874182,Some days it's tough just getting up. Throwin' on these boots and makin' that climb.
538461467289587713,1240315986,"All of them niggas you fuck with, girl... There not no big deal"
622614713013288960,52865666,Monday August 10th save the fucking date.
493601615392546816,985153584,Yaaaas bitch baby boy is on my favorite fucking movie 
595197760820944896,2329438476,@SOMEONE you just wanna be like me
612478155840991232,2850975298,Before its all said and done Imma fuckn fight somebody tonight
635428303193640961,15544922,@SOMEONE @SOMEONE @SOMEONE They should have killed the muslim fuck
704816919803723777,43991523,"""If you have a business that's making other people wealthy, you're going to stay around."" @SOMEONE #ThrowingRocks"
666114750019977216,543081402,Yeah my husbands going to hate and love me
704708727291682816,30371605,@SOMEONE @SOMEONE fuck that it's such a nice day outside
374697867148947458,399114789,What if someone just made up all those numbers. Like no one actually DMed them so they made their own
704822207801749505,29857915,"#goal #mood tonight! #Repost mike_tysonko  ""I was a killer. Those guys are businessmen... http://LINK"
633860318125522944,3044766149,Michael at the end kills me every fucking time  http://LINK
438147036022439936,482371227,My sinuses are fucked right now.
420768053497180160,840888300,@SOMEONE fuck I'm not going lol
634529817652785153,344303033,"*i turn on lean it* ""Will u at least put on good music"" mom ""This is fucking good music"" me"
429296180028522496,454464866,@SOMEONE I have a thing for girls with girlfriends or boyfriends @SOMEONE
472885270015410176,568642574,"As much as I hate all he mushy romantic stuff, it's beautiful to watch the bride and groom share their first dance together. "
624620496202502145,2326576213,@SOMEONE 80 a day killed by guns in wrong hands is bad but when gun violence bumps Steph it MUST be STOPPED! VOTE NRA stooges out-Republicans
360212295189667840,560612879,@SOMEONE Honey Boo Boo's sister has a boyfriend nd I'm single.?? #whatislife 
706123768318525440,218342916,If you ever want to find out why your so fucked up just look at your parents
704758362777493504,263223262,"@SOMEONE @SOMEONE Yes, but plenty of money has been thrown against Trump by Reps, no effect. This is very different."
