time,suicide,depression,seek help,suicide lifeline,crisis hotline,Parkinson's,Robin Williams
2014_02,544221,499560,16303,739,230,2234,10185
2014_03,991446,935823,26840,1038,371,5158,16675
2014_04,893121,803045,25917,909,539,9247,30640
2014_05,837829,734448,41732,486,286,5951,16397
2014_06,818358,715495,24402,641,479,5574,13423
2014_07,934515,763716,27485,305,486,5536,28471
2014_08,1679641,1605657,45606,10432,812,70366,5335688
2014_09,1017042,824393,30950,3619,815,8715,214180
2014_10,918068,795325,31457,1004,552,5495,88852
2014_11,997881,728141,27324,966,577,8644,106107
2014_12,1044017,698887,26098,1521,1210,6411,114048
2015_01,1029757,804109,28229,1154,1535,6785,59006
2015_02,326150,273050,9884,398,398,3421,41508
